DATE,DEXTHUS
2023-10-11,36.36
2023-10-12,36.35
2023-10-13,36.3
2023-10-16,36.26
2023-10-17,36.28
2023-10-18,36.38
2023-10-19,36.44
2023-10-20,36.46
2023-10-23,36.34
2023-10-24,36.15
2023-10-25,36.15
2023-10-26,36.31
2023-10-27,36.18
